Easting,Northing,Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category
96624,58533,Peat,Lithosols: Stony mineral soils often overlying bedrock,249.9,2283,Poorly Drained
180456,397286,Peat,Peat soils,186,1568,Peat
92000,234585,Peat,Peat soils,14.9,1444,Peat
218446,187594,Peat,Peat soils,107.2,983,Peat
137349,234320,Fine loamy,Brown Earth: Well drained mineral soils,7.8,1147,Well Drained
176972,182790,Fine loamy,Brown Earth: Well drained mineral soils,95.4,1063,Well Drained
185692,126167,Loamy,Podzols: Well drained acid mineral soil,301.7,1645,Well Drained
123103,248806,Fine loamy,Brown Earth: Well drained mineral soils,11.5,1231,Well Drained
160989,288136,Fine loamy,Luvisol: Well drained mineral soils,82.5,1255,Poorly Drained
181359,431845,Peat,Peat soils,15,1316,Poorly Drained
235385,310792,Coarse loamy,Brown Earth: Well drained mineral soils,54.5,1031,Poorly Drained
182251,164252,Peat,Peat soils,262.8,1410,Peat
293767,185621,Coarse loamy,Brown Earth: Well drained mineral soils,163.8,1099,Well Drained
115802,157779,Fine loamy,Surface-water Gley: Poorly drained mineral soil,47.5,1209,Poorly Drained
272662,228550,Fine loamy,Groundwater Gley: Poorly drained mineral soil,86.5,849,Poorly Drained
64417,110170,All,River alluvium,50,1649,AlluvMIN
98100,39090,Peat,Lithosols: Stony mineral soils often overlying bedrock,87,1586,Well Drained
223046,423491,Loamy,Brown Podzolic: Well drained acid mineral soil,50,1119,Poorly Drained
116457,59872,Peat,Peat soils,322,2161,Peat
266925,141214,Fine loamy,Brown Earth: Well drained mineral soils,149.9,1085,Well Drained
229403,185026,Fine loamy,Luvisol: Well drained mineral soils,133.9,972,Poorly Drained
171298,204600,Fine loamy,Brown Earth: Well drained mineral soils,96.5,1224,Poorly Drained
229790,257971,Clayey,Surface-water Gley: Poorly drained mineral soil,69.3,955,Well Drained
156108,184929,Fine loamy,Brown Earth: Well drained mineral soils,58.2,1035,Well Drained
200797,439773,Peat,Lithosols: Stony mineral soils often overlying bedrock,87,1228,Peat
200147,215087,All,Lake alluvium,33.1,851,Poorly Drained
249629,453179,Peat,Lithosols: Stony mineral soils often overlying bedrock,153.5,1280,Poorly Drained
177737,275045,Fine loamy,Luvisol: Well drained mineral soils,89.8,1109,Well Drained
225794,300660,Fine loamy,Surface-water Gley: Poorly drained mineral soil,80.3,1113,Poorly Drained
114147,81044,Peat,Peat soils,297,1989,Peat
205733,124387,Fine loamy,Luvisol: Well drained mineral soils,55.6,993,Well Drained
127928,171782,Fine loamy,Brown Podzolic: Well drained acid mineral soil,67.9,1344,Poorly Drained
214427,215261,Fine loamy,Luvisol: Well drained mineral soils,59.8,913,Well Drained
109385,222387,Peat,Peat soils,29.9,1390,Well Drained
255850,447028,Peat,Peat soils,76.8,1172,Peat
218065,114684,Coarse loamy,Surface-water Gley: Poorly drained mineral soil,72.1,1135,Poorly Drained
272737,207476,Peat,Peat soils,74.1,832,Peat
199411,307080,Peat,Peat soils,54.8,1111,Peat
188997,262611,Peat,Peat soils,42.1,1046,Peat
99704,261440,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,110.7,2387,Poorly Drained
117491,192773,Fine loamy,Surface-water Gley: Poorly drained mineral soil,104.3,1424,Poorly Drained
171871,263965,Peat,Peat soils,100.4,1106,Poorly Drained
202480,427593,Peat,Peat soils,132,1617,Peat
303145,217326,Peat,Lithosols: Stony mineral soils often overlying bedrock,195.3,1108,Well Drained
122571,36346,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,79.7,1420,Well Drained
240815,119338,Fine loamy,Surface-water Gley: Poorly drained mineral soil,108,1148,Poorly Drained
93096,125909,Fine loamy,Surface-water Gley: Poorly drained mineral soil,81,1266,Poorly Drained
296247,255627,Fine loamy,Luvisol: Well drained mineral soils,120.7,888,Well Drained
306138,223431,Fine loamy,Brown Podzolic: Well drained acid mineral soil,393.4,1196,Well Drained
182230,195041,Fine loamy,Luvisol: Well drained mineral soils,50.2,943,Well Drained
119161,236691,Fine loamy,Brown Earth: Well drained mineral soils,6.9,1411,Well Drained
248163,283408,Fine loamy,Luvisol: Well drained mineral soils,74.2,957,Well Drained
109076,117633,Peat,Peat soils,173.9,1570,Peat
98377,235769,Peat,Peat soils,16.3,1445,Peat
188848,161841,Fine loamy,Surface-water Gley: Poorly drained mineral soil,264,1553,Poorly Drained
293765,165387,Fine loamy,Brown Podzolic: Well drained acid mineral soil,200.4,989,Well Drained
117791,120519,Fine loamy,Surface-water Gley: Poorly drained mineral soil,230,1446,Poorly Drained
81128,29441,Peat,Lithosols: Stony mineral soils often overlying bedrock,32.7,1347,Well Drained
116590,137631,Peat,Peat soils,145.5,1388,Peat
82586,126832,Coarse loamy,Brown Earth: Well drained mineral soils,12.2,1084,Poorly Drained
316698,307645,Fine loamy,Brown Earth: Well drained mineral soils,47.2,919,Well Drained
283353,296618,Peat,Peat soils,24.1,889,Peat
281992,246416,Fine loamy,Luvisol: Well drained mineral soils,89.4,880,Well Drained
220174,182435,Fine loamy,Luvisol: Well drained mineral soils,136.4,999,Well Drained
204684,302356,Fine loamy,Surface-water Gley: Poorly drained mineral soil,78.8,1133,Poorly Drained
271618,324878,Fine loamy,Surface-water Gley: Poorly drained mineral soil,150.2,1070,Poorly Drained
278557,329565,Fine loamy,Brown Earth: Well drained mineral soils,130,1024,Well Drained
95014,43281,Coarse loamy,Brown Earth: Well drained mineral soils,36,1563,Well Drained
93983,143832,Peat,Peat soils,93,1210,Peat
286722,140417,Fine loamy,Brown Earth: Well drained mineral soils,153.1,1221,Well Drained
207203,397834,Peat,Peat soils,85,1603,Poorly Drained
80495,318994,Peat,Peat soils,10.2,1428,Peat
202639,403389,Peat,Peat soils,188,1860,Peat
71562,70387,Peat,Peat soils,47,2300,Peat
123111,63572,Peat,Peat soils,145.8,1721,Peat
280537,252109,Fine loamy,Luvisol: Well drained mineral soils,62.8,838,Well Drained
259444,181444,Fine loamy,Luvisol: Well drained mineral soils,230.5,1065,Poorly Drained
206120,185890,Fine loamy,Luvisol: Well drained mineral soils,114.2,1002,Well Drained
92662,31966,Coarse loamy,Brown Earth: Well drained mineral soils,38,1350,Well Drained
274827,238534,Fine loamy,Luvisol: Well drained mineral soils,77.2,866,Well Drained
244709,147580,Fine loamy,Luvisol: Well drained mineral soils,92.6,926,Well Drained
184217,123830,Loamy,Podzols: Well drained acid mineral soil,425.4,1714,Poorly Drained
282457,283515,Fine loamy,Luvisol: Well drained mineral soils,79.6,883,Well Drained
111525,119057,Fine loamy,Luvisol: Well drained mineral soils,169,1564,Poorly Drained
253570,204130,Fine loamy,Luvisol: Well drained mineral soils,91.4,837,Well Drained
248349,103566,Fine loamy,Brown Earth: Well drained mineral soils,89.7,1150,Well Drained
162919,348938,Fine loamy,Luvisol: Well drained mineral soils,8.5,1134,Poorly Drained
286462,110118,Fine loamy,Surface-water Gley: Poorly drained mineral soil,47.2,920,Poorly Drained
244480,155900,Fine loamy,Surface-water Gley: Poorly drained mineral soil,135.1,1000,Poorly Drained
281209,185193,Fine loamy,Luvisol: Well drained mineral soils,135.1,869,Well Drained
253033,319087,All,River alluvium,106.4,1021,AlluvMIN
174203,145444,Fine loamy,Luvisol: Well drained mineral soils,131.9,1028,Poorly Drained
252216,320310,Fine loamy,Brown Earth: Well drained mineral soils,143.7,1041,Poorly Drained
87391,92531,All,River alluvium,18.9,1473,AlluvMIN
166741,227083,Coarse loamy,Brown Earth: Well drained mineral soils,82.7,1128,Well Drained
261704,322400,Fine loamy,Brown Earth: Well drained mineral soils,99.9,1037,Poorly Drained
104922,77912,Peat,Peat soils,130,2118,Poorly Drained
270291,123465,Fine loamy,Brown Earth: Well drained mineral soils,66.9,1103,Well Drained
152202,164337,Peat,Peat soils,292.2,1293,Peat
298690,210619,Fine loamy,Brown Earth: Well drained mineral soils,197.48361,927,Well Drained
208537,430050,Peat,Peat soils,87,1429,Peat
144104,173549,Loamy,"Rendzinas: Well drained shallow soils with high lime content, derived from limestone",26,1137,Well Drained
149587,223230,Fine loamy,Brown Earth: Well drained mineral soils,25.7,1146,Well Drained
175263,380461,Peat,Peat soils,55.7,1795,Poorly Drained
232721,223181,All,River alluvium,66.8,874,AlluvMIN
171282,129965,Fine loamy,Luvisol: Well drained mineral soils,111.9,1020,Well Drained
181743,228950,Coarse loamy,Brown Earth: Well drained mineral soils,78,1015,Well Drained
266043,316717,Fine loamy,Luvisol: Well drained mineral soils,98.2,1015,Poorly Drained
232936,189891,Fine loamy,Luvisol: Well drained mineral soils,110.8,961,Well Drained
101609,97653,Peat,Peat soils,288,1648,Peat
163502,75228,Fine loamy,Brown Earth: Well drained mineral soils,42,1102,Poorly Drained
234732,208825,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,200.6,1260,Well Drained
208532,114719,Fine loamy,Brown Earth: Well drained mineral soils,41.5,1111,Poorly Drained
85611,150391,Fine loamy,Brown Earth: Well drained mineral soils,25,1129,Well Drained
183704,133867,Fine loamy,Luvisol: Well drained mineral soils,117.1,1102,Well Drained
273217,129313,Fine loamy,Brown Earth: Well drained mineral soils,19.6,1027,Poorly Drained
67666,247137,Peat,Peat soils,18,1496,Peat
271514,246318,All,River alluvium,66.47039,869,AlluvMIN
303620,166840,Fine loamy,Brown Earth: Well drained mineral soils,152,1166,Well Drained
165344,388149,Peat,Peat soils,206,2039,Peat
170279,201707,Peat,Peat soils,129.5,1272,Peat
94373,260293,Peat,Peat soils,31.2,2497,Peat
168866,317753,Fine loamy,Luvisol: Well drained mineral soils,132.3,1202,Well Drained
274232,254998,Fine loamy,Luvisol: Well drained mineral soils,61.8,844,Well Drained
251047,299231,Fine loamy,Surface-water Gley: Poorly drained mineral soil,132,1146,Poorly Drained
151105,99590,Fine loamy,Surface-water Gley: Poorly drained mineral soil,104.9,1057,Poorly Drained
149058,173161,Peat,Peat soils,28.9,1136,Peat
256013,284815,Fine loamy,Brown Earth: Well drained mineral soils,100.3,963,Poorly Drained
298801,253338,Fine loamy,Surface-water Gley: Poorly drained mineral soil,100.5,847,Poorly Drained
99031,307910,Peat,Peat soils,190.8,2084,Peat
307331,306255,Fine loamy,Brown Earth: Well drained mineral soils,2.1,809,Well Drained
110365,95186,Fine loamy,Surface-water Gley: Poorly drained mineral soil,166,1555,Poorly Drained
129436,91200,Fine loamy,Brown Earth: Well drained mineral soils,155.8,1407,Well Drained
253589,450191,Peat,Peat soils,1.5,1138,Well Drained
303704,287044,Fine loamy,Brown Earth: Well drained mineral soils,58.9,884,Poorly Drained
146203,325563,Peat,Peat soils,306.1,1702,Peat
187102,422166,Peat,Peat soils,68,1665,Peat
153018,110437,All,River alluvium,84.1,991,AlluvMIN
291253,219495,Fine loamy,Surface-water Gley: Poorly drained mineral soil,96.6,857,Well Drained
145186,264571,Peat,Peat soils,61.3,1200,Peat
228113,402206,All,Lake alluvium,11.2,1105,Well Drained
221543,306096,Fine loamy,Surface-water Gley: Poorly drained mineral soil,71.1,1122,Poorly Drained
109259,318243,Coarse loamy,Brown Earth: Well drained mineral soils,61.4,1426,Poorly Drained
202970,280619,Peat,Peat soils,46.1,1044,Peat
240683,145941,Fine loamy,Luvisol: Well drained mineral soils,73.1,938,Poorly Drained
119138,56617,Peat,Peat soils,92.5,1944,Poorly Drained
312013,219656,Peat,Lithosols: Stony mineral soils often overlying bedrock,348,1465,Poorly Drained
182163,97296,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,77.7,1091,Well Drained
208011,247718,Fine loamy,Luvisol: Well drained mineral soils,62.8,911,Well Drained
78387,115876,Fine loamy,Surface-water Gley: Poorly drained mineral soil,22.6,1253,Well Drained
182640,288419,Peat,Peat soils,78,1131,Peat
236376,305655,Coarse loamy,Brown Earth: Well drained mineral soils,58.5,1025,Poorly Drained
108701,40973,All,River alluvium,30,1570,AlluvMIN
188580,114826,Fine loamy,Brown Earth: Well drained mineral soils,144.7,1185,Poorly Drained
272433,130949,Fine loamy,Brown Earth: Well drained mineral soils,26.2,997,Well Drained
54930,59189,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,28.8,1682,Well Drained
301554,157724,Fine loamy,Brown Earth: Well drained mineral soils,253.7,1180,Well Drained
305634,263475,Fine loamy,Luvisol: Well drained mineral soils,78.5,830,Well Drained
202958,401059,Peat,Peat soils,165,1790,Poorly Drained
214055,324022,Peat,Peat soils,234.5,1893,Peat
86457,321879,Peat,Peat soils,72.2,1379,Poorly Drained
156844,269013,Coarse loamy,Brown Earth: Well drained mineral soils,93.1,1179,Well Drained
103166,227554,Peat,Peat soils,84.6,1444,Peat
153733,299338,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,156.4,1308,Poorly Drained
104411,38989,Coarse loamy,Brown Earth: Well drained mineral soils,107,1598,Well Drained
232874,446212,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,84,1263,Poorly Drained
198111,308125,Clayey,Surface-water Gley: Poorly drained mineral soil,62,1101,Poorly Drained
81594,120396,Fine loamy,Surface-water Gley: Poorly drained mineral soil,49,1239,Poorly Drained
287852,190860,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,195.2,1102,Well Drained
209909,114335,Fine loamy,Brown Earth: Well drained mineral soils,33.5,1164,Well Drained
95575,64107,Peat,Peat soils,79,2458,Poorly Drained
305572,271841,Fine loamy,Luvisol: Well drained mineral soils,55.5,789,Well Drained
310881,216003,Peat,Peat soils,659,2095,Peat
212644,85791,Coarse loamy,Brown Earth: Well drained mineral soils,79,1253,Well Drained
266620,273631,Fine loamy,Luvisol: Well drained mineral soils,108.5,1006,Well Drained
210396,225173,Coarse loamy,Brown Earth: Well drained mineral soils,66.6,904,Well Drained
272594,334547,All,River alluvium,38.2,907,AlluvMIN
209236,439949,Peat,Lithosols: Stony mineral soils often overlying bedrock,37,1151,Poorly Drained
198320,147186,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,92.9,1100,Poorly Drained
133053,255819,Peat,Peat soils,34.5,1183,Peat
102018,314301,Peat,Peat soils,71.6,1696,Peat
205413,374553,Peat,Peat soils,163.1,1782,Peat
261908,164315,Fine loamy,Surface-water Gley: Poorly drained mineral soil,297,1137,Poorly Drained
254926,194490,Fine loamy,Luvisol: Well drained mineral soils,96.6,884,Poorly Drained
107208,152930,Peat,Peat soils,40.6,1121,Well Drained
117258,236465,Fine loamy,Brown Earth: Well drained mineral soils,43.9,1492,Well Drained
92256,71114,Coarse loamy,Brown Earth: Well drained mineral soils,3.7,1775,Well Drained
162078,152575,Fine loamy,Brown Earth: Well drained mineral soils,57.7,971,Well Drained
156899,132800,Fine loamy,Luvisol: Well drained mineral soils,64.8,921,Well Drained
192048,190104,Fine loamy,Luvisol: Well drained mineral soils,71.7,941,Well Drained
193932,203659,Fine loamy,Luvisol: Well drained mineral soils,49.4,898,Well Drained
251007,137643,All,River alluvium,65.6,968,AlluvMIN
184327,184963,Fine loamy,Luvisol: Well drained mineral soils,50.8,928,Well Drained
215840,277480,Fine loamy,Luvisol: Well drained mineral soils,52.5,998,Well Drained
115702,179704,Peat,Peat soils,123,1696,Peat
256893,302667,Fine loamy,Surface-water Gley: Poorly drained mineral soil,161.6,1155,Poorly Drained
171889,223966,Fine loamy,Brown Earth: Well drained mineral soils,141.1,1151,Poorly Drained
310977,239330,Fine loamy,Luvisol: Well drained mineral soils,74.7,811,Poorly Drained
101843,30116,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,25.7,1203,Well Drained
276010,244419,Fine loamy,Luvisol: Well drained mineral soils,94.6,867,Well Drained
107908,196387,Fine loamy,Surface-water Gley: Poorly drained mineral soil,52.5,1322,Well Drained
127288,305425,All,River alluvium,7.9,1225,AlluvMIN
311795,213254,Peat,Peat soils,424,1706,Peat
98753,94735,Fine loamy,Surface-water Gley: Poorly drained mineral soil,118.6,1538,Well Drained
87662,81263,Peat,Peat soils,46.6,2509,Poorly Drained
204604,106532,Coarse loamy,Surface-water Gley: Poorly drained mineral soil,194.4,1578,Poorly Drained
200449,309341,Fine loamy,Surface-water Gley: Poorly drained mineral soil,85.1,1110,Poorly Drained
257184,290986,Fine loamy,Brown Earth: Well drained mineral soils,128.9,1048,Poorly Drained
191142,342069,Fine loamy,Surface-water Gley: Poorly drained mineral soil,207.1,1537,Poorly Drained
201770,142853,Fine loamy,Luvisol: Well drained mineral soils,77.4,971,Well Drained
161216,69257,Coarse loamy,Brown Earth: Well drained mineral soils,19,1149,Well Drained
259053,236041,Peat,Peat soils,68.8,879,Peat
208369,322047,Peat,Peat soils,285,1879,Peat
315370,151897,Fine loamy,Surface-water Gley: Poorly drained mineral soil,33.3,992,Poorly Drained
171781,347214,Peat,Peat soils,425.8,1774,Peat
121737,168178,Peat,Peat soils,142,1483,Peat
182456,279285,Fine loamy,Luvisol: Well drained mineral soils,86.9,1141,Well Drained
124105,178632,Fine loamy,Brown Earth: Well drained mineral soils,61.8,1455,Well Drained
162859,41538,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,27,977,Well Drained
261548,245406,Fine loamy,Luvisol: Well drained mineral soils,70.4,886,Well Drained
218003,161434,Fine loamy,Luvisol: Well drained mineral soils,111.2,914,Poorly Drained
100118,99070,Peat,Peat soils,288.7,1592,Peat
318978,249112,Fine loamy,Luvisol: Well drained mineral soils,13.7,720,Well Drained
157204,184668,Peat,Peat soils,39.5,1015,Well Drained
121995,41000,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,127,1632,Well Drained
192389,359525,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,57.7,1242,Poorly Drained
171545,380028,Peat,Peat soils,124,1902,Poorly Drained
157724,287692,Peat,Peat soils,79.2,1244,Peat
118281,324443,Coarse loamy,Brown Earth: Well drained mineral soils,48.3,1250,Well Drained
288831,149287,All,River alluvium,93,1215,AlluvMIN
113219,284531,Fine loamy,Luvisol: Well drained mineral soils,36.1,1340,Poorly Drained
96470,278282,Peat,Peat soils,90,1807,Well Drained
282993,221600,Peat,Peat soils,78.6,853,Peat
137713,336901,Coarse loamy,Brown Earth: Well drained mineral soils,36.9,1092,Well Drained
268034,299639,Fine loamy,Surface-water Gley: Poorly drained mineral soil,140.2,1090,Well Drained
50805,61407,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,81.3,1826,Poorly Drained
88732,34847,Peat,Lithosols: Stony mineral soils often overlying bedrock,88,1484,Poorly Drained
206714,316701,Peat,Peat soils,189.1,1616,Peat
186286,353486,Loamy,Surface-water Gley: Poorly drained mineral soil,60.3,1446,Poorly Drained
229159,219355,All,River alluvium,75.1,939,Well Drained
328166,192963,Fine loamy,Brown Earth: Well drained mineral soils,139,1055,Well Drained
216371,81123,Fine loamy,Brown Earth: Well drained mineral soils,100,1038,Well Drained
155353,49870,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,93.4,1264,Well Drained
285919,109683,Fine loamy,Surface-water Gley: Poorly drained mineral soil,20,920,Poorly Drained
165443,296681,Peat,Peat soils,69.7,1214,Peat
187619,107023,Fine loamy,Brown Earth: Well drained mineral soils,148.6,1367,Well Drained
299401,131147,Fine loamy,Surface-water Gley: Poorly drained mineral soil,52,1020,Poorly Drained
203698,224075,Fine loamy,Luvisol: Well drained mineral soils,36.2,900,Poorly Drained
223358,110063,Peat,Peat soils,328,1393,Peat
147938,156821,All,River alluvium,-1.5,973,AlluvMIN
170911,240925,Peat,Peat soils,70,1139,Peat
98739,62557,Peat,Lithosols: Stony mineral soils often overlying bedrock,350.4,2686,Poorly Drained
82393,62501,Peat,Peat soils,233.5,2246,Peat
146585,211880,Fine loamy,Brown Earth: Well drained mineral soils,34.2,1064,Well Drained
143573,240145,Fine loamy,Brown Earth: Well drained mineral soils,37.3,1171,Well Drained
64971,111749,Coarse loamy,Brown Earth: Well drained mineral soils,5,1329,Well Drained
130841,334762,Coarse loamy,Brown Earth: Well drained mineral soils,5,1073,Well Drained
40727,75318,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,25.7,1609,Poorly Drained
240063,216655,Fine loamy,Luvisol: Well drained mineral soils,125.7,941,Well Drained
158389,326054,Peat,Peat soils,153.2,1728,Poorly Drained
254709,291737,Fine loamy,Brown Earth: Well drained mineral soils,182.8,1080,Poorly Drained
157599,111940,Clayey,Surface-water Gley: Poorly drained mineral soil,98.6,1052,Well Drained
237173,268917,Peat,Peat soils,64.7,948,Peat
215656,202026,Fine loamy,Luvisol: Well drained mineral soils,98.6,1003,Poorly Drained
71655,306523,Peat,Peat soils,25.7,1478,Peat
117880,285001,Coarse loamy,Brown Earth: Well drained mineral soils,32.7,1299,Well Drained
205702,75235,Coarse loamy,Brown Earth: Well drained mineral soils,5.4,987,Poorly Drained
275725,263055,Fine loamy,Luvisol: Well drained mineral soils,87.7,875,Well Drained
329436,189470,Fine loamy,Brown Earth: Well drained mineral soils,76,983,Well Drained
312926,197062,Peat,Lithosols: Stony mineral soils often overlying bedrock,190,1643,Poorly Drained
67047,327300,Peat,Peat soils,5,1355,Peat
245218,426584,Loamy,Brown Podzolic: Well drained acid mineral soil,97,1356,Poorly Drained
279121,325353,Fine loamy,Brown Earth: Well drained mineral soils,138.9,1015,Well Drained
169067,341879,Fine loamy,Luvisol: Well drained mineral soils,11.8,1300,Poorly Drained
121320,145890,Fine loamy,Surface-water Gley: Poorly drained mineral soil,102.7,1251,Poorly Drained
83705,96283,Coarse loamy,Brown Earth: Well drained mineral soils,18,1359,Poorly Drained
285079,256456,Fine loamy,Luvisol: Well drained mineral soils,60.1,828,Well Drained
179593,351308,Peat,Peat soils,49.2,1544,Peat
234349,107172,Fine loamy,Brown Earth: Well drained mineral soils,109.7,1368,Well Drained
128332,238783,Fine loamy,Brown Earth: Well drained mineral soils,7.481392,1188,Well Drained
96056,159474,Peat,Peat soils,6.3,1172,Peat
212062,173229,Fine loamy,Luvisol: Well drained mineral soils,113.8,1085,Well Drained
207248,410837,Peat,Peat soils,138,1672,Poorly Drained
48129,103738,Loamy,Podzols: Well drained acid mineral soil,180.4,2106,Poorly Drained
229355,279606,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,86.8,1029,Well Drained
289593,228583,All,River alluvium,62.1,820,AlluvMIN
249531,179653,Fine loamy,Brown Earth: Well drained mineral soils,190.9,1059,Well Drained
190000,336932,Peat,Peat soils,220.8,1568,Peat
238317,419741,Loamy,Brown Podzolic: Well drained acid mineral soil,90.3,1122,Poorly Drained
118732,283988,Coarse loamy,Brown Earth: Well drained mineral soils,42.7,1290,Well Drained
157315,345457,Peat,Peat soils,4,1056,Peat
287127,257922,Fine loamy,Luvisol: Well drained mineral soils,62.3,825,Well Drained
222921,297992,Fine loamy,Surface-water Gley: Poorly drained mineral soil,47.7,1126,Well Drained
187798,101279,Fine loamy,Brown Earth: Well drained mineral soils,119.2,1194,Well Drained
163286,191987,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,191.9,1302,Poorly Drained
274656,205936,Peat,Peat soils,81.6,841,Poorly Drained
93944,325349,Peat,Peat soils,134,1658,Peat
50517,107471,Peat,Peat soils,152.4,2600,Peat
147933,324709,Peat,Peat soils,478.4,1986,Peat
232323,271768,Fine loamy,Luvisol: Well drained mineral soils,79,1021,Poorly Drained
205006,186205,Fine loamy,Luvisol: Well drained mineral soils,91.5,987,Well Drained
285386,323539,Fine loamy,Brown Earth: Well drained mineral soils,138,1021,Poorly Drained
213332,264475,Fine loamy,Luvisol: Well drained mineral soils,73.9,992,Well Drained
94773,56557,Peat,Peat soils,62,1985,Poorly Drained
130318,130241,Clayey,Surface-water Gley: Poorly drained mineral soil,54.4,1061,Poorly Drained
262201,158303,Fine loamy,Luvisol: Well drained mineral soils,119.1,877,Poorly Drained
273908,314073,Fine loamy,Brown Earth: Well drained mineral soils,180.9,1065,Poorly Drained
178151,234405,Peat,Peat soils,55.5,1060,Peat
130888,138410,All,River alluvium,36.2,1081,AlluvMIN
165099,247551,Coarse loamy,Brown Earth: Well drained mineral soils,65.9,1144,Well Drained
146270,96217,Coarse loamy,Brown Earth: Well drained mineral soils,69.5,1253,Well Drained
150973,269706,Peat,Peat soils,79.4,1217,Peat
141523,221474,Fine loamy,Brown Earth: Well drained mineral soils,22.1,1053,Well Drained
255877,314237,Fine loamy,Brown Earth: Well drained mineral soils,88.5,1024,Poorly Drained
258359,107559,Fine loamy,Brown Earth: Well drained mineral soils,11.6,1041,Poorly Drained
210073,249045,Fine loamy,Luvisol: Well drained mineral soils,52.7,917,Poorly Drained
96817,325369,Peat,Peat soils,97.5,1642,Peat
209901,91587,All,River alluvium,1,1137,AlluvMIN
165279,169691,Fine loamy,Brown Earth: Well drained mineral soils,69.2,1248,Well Drained
311649,167219,Fine loamy,Groundwater Gley: Poorly drained mineral soil,165,1172,Poorly Drained
117047,131733,Peat,Peat soils,216.6,1369,Peat
288474,175671,Coarse loamy,Brown Earth: Well drained mineral soils,88.6,852,Well Drained
145770,103993,Clayey,Surface-water Gley: Poorly drained mineral soil,93.6,1068,Well Drained
125749,84579,Peat,Peat soils,298.8,2098,Poorly Drained
139761,285528,All,River alluvium,89.3,1242,Poorly Drained
243912,231529,Peat,Peat soils,104.9,914,Peat
277891,196183,Fine loamy,Luvisol: Well drained mineral soils,129.1,866,Well Drained
175970,310761,Peat,Peat soils,292.4,1381,Peat
156463,146844,Fine loamy,Luvisol: Well drained mineral soils,39.2,942,Well Drained
168614,74561,Fine loamy,Brown Earth: Well drained mineral soils,57,1096,Well Drained
265073,313086,Fine loamy,Brown Earth: Well drained mineral soils,151.6,1042,Poorly Drained
78317,152928,Fine loamy,Surface-water Gley: Poorly drained mineral soil,41,1163,Poorly Drained
233284,266174,Peat,Peat soils,62.7,977,Peat
156415,274442,Fine loamy,Surface-water Gley: Poorly drained mineral soil,95.7,1224,Poorly Drained
