Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Hydrology_Category_Original,Raw_Hydrology,Flood_Risk_Index,Runoff_Index,Cluster,PC1_PCA,PC2_PCA,TSNE1,TSNE2
Fine loamy,Brown Earth: Well drained mineral soils,0.8078059926038911,-0.4674733018496886,Poorly Drained,Poorly Drained,6,-1.2752792944535796,-3.807805992603891,1,-5.056854203697193,-1.2398353616308486,-59.164417,-44.069588
Fine loamy,Luvisol: Well drained mineral soils,0.006124947143279595,-0.9028902504912474,Well Drained,Well Drained,0,-0.909015197634527,2.9938750528567204,0,4.014934333121816,-0.9473714902273064,42.29858,-64.553635
Fine loamy,Luvisol: Well drained mineral soils,-0.41948661912653934,-1.2719854122536283,Well Drained,Well Drained,0,-0.8524987931270889,3.4194866191265394,0,4.333834682265719,-0.7762733099932844,61.692436,-66.32608
Peat,Peat soils,0.1885299041160592,1.2453589332038602,Peat,Peat,4,1.056829029087801,-1.1885299041160593,2,-1.7569493951513413,0.9508358191424119,-13.642681,24.748024
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.00851248767552367,2.387247089906226,Well Drained,Well Drained,0,2.3957595775817495,3.0085124876755236,0,4.044518583119155,2.038255946903083,30.78473,73.06207
Peat,Peat soils,-0.2224442273349565,-0.6001168756080443,Peat,Peat,4,-0.3776726482730878,-0.7775557726650435,2,-1.4574098530861892,-0.22736119407616862,8.092394,-7.956704
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,-0.690842141536662,-0.5424457565826722,Poorly Drained,Poorly Drained,6,0.14839638495398977,-2.309157858463338,1,-3.9270507661038137,0.4675022440158695,-41.426056,26.795044
Peat,Peat soils,-0.6626932284235788,-0.493425305411106,Peat,Peat,4,0.1692679230124728,-0.3373067715764212,2,-1.1247886566294325,0.390317889378036,12.129519,16.480577
Peat,Peat soils,-0.6086473152464589,-0.4732404137522258,Peat,Peat,4,0.13540690149423307,-0.3913526847535411,2,-1.165434348307169,0.3445171035249118,11.269936,15.213813
Peat,Peat soils,-0.4397538365679593,-1.0759036075673634,Peat,Peat,4,-0.6361497709994041,-0.5602461634320407,2,-1.29620465846278,-0.39922753312319026,15.706083,-17.334072
Peat,Peat soils,-0.8450981853963583,-0.14163147935633674,Peat,Peat,4,0.7034667060400215,-0.15490181460364172,2,-0.9852425332663259,0.9237363730879381,7.0947533,33.46932
Fine loamy,Brown Earth: Well drained mineral soils,0.9327871668259807,-0.19065193052790297,Poorly Drained,Poorly Drained,6,-1.1234390973538837,-3.932787166825981,1,-5.1495501343220855,-1.1381188884574804,-61.41994,-42.48996
Peat,Lithosols: Stony mineral soils often overlying bedrock,1.6004793858683157,3.030280067039124,Poorly Drained,Poorly Drained,6,1.4298006811708082,-4.600479385868316,1,-5.634944227285542,0.9769320757934473,-93.19621,5.4506984
Peat,Peat soils,0.8809931666979075,0.9685375618820745,Peat,Peat,4,0.08754439518416701,-1.8809931666979076,2,-2.2807403890202647,-0.11904945786452326,-11.370948,-6.0291314
Peat,Peat soils,-1.045518446761511,0.610976623924768,Peat,Peat,4,1.656495070686279,0.04551844676151107,2,-0.82985068660551,1.8400979228397047,-6.1741343,49.124615
Peat,Peat soils,-0.006260574626476978,-0.7183426696100569,Peat,Peat,4,-0.7120820949835799,-0.993739425373523,2,-1.6211141103557714,-0.5900666026933826,3.5514023,-15.048484
Fine loamy,Brown Earth: Well drained mineral soils,-1.1254613600026677,-0.24543949360200637,Well Drained,Well Drained,0,0.8800218664006614,4.125461360002667,0,4.8720414491080355,0.9860001043078709,56.356003,56.18582
Fine loamy,Brown Earth: Well drained mineral soils,-0.13912344452022996,-0.4876581935085688,Well Drained,Well Drained,0,-0.34853474898833886,3.13912344452023,0,4.1268159002532405,-0.4007280731217735,49.772324,-25.987064
Loamy,Podzols: Well drained acid mineral soil,2.183724865571401,1.1905713701297567,Well Drained,Well Drained,0,-0.9931534954416443,0.816275134428599,0,2.384467543320288,-1.6378118276196583,-12.817623,-67.99011
Fine loamy,Brown Earth: Well drained mineral soils,-1.0838009685953045,-0.003220793695443913,Well Drained,Well Drained,0,1.0805801748998607,4.0838009685953045,0,4.841987986856972,1.1551826647953027,51.519093,61.517498
Fine loamy,Luvisol: Well drained mineral soils,-0.2843718361837397,0.0659845491350025,Poorly Drained,Poorly Drained,6,0.3503563853187422,-2.7156281638162603,1,-4.230166431642623,0.534997697821905,-61.614483,22.92028
Peat,Peat soils,-1.0443924902369879,0.24188146216238715,Poorly Drained,Poorly Drained,6,1.286273952399375,-1.9556075097630121,1,-3.6559949771934015,1.59384505190432,-85.2963,44.696392
Coarse loamy,Brown Earth: Well drained mineral soils,-0.5996396630502723,-0.579931983949164,Poorly Drained,Poorly Drained,6,0.019707679101108266,-2.4003603369497277,1,-3.996043660440228,0.3256641431728958,-41.287415,18.02841
Peat,Peat soils,1.7457277775318258,0.5129357215816356,Peat,Peat,4,-1.2327920559501901,-2.745727777531826,3,-2.9354598971804524,-1.5542621997068822,-5.688068,-32.378555
Coarse loamy,Brown Earth: Well drained mineral soils,0.6310308182537283,-0.3838501792628992,Well Drained,Well Drained,0,-1.0148809975166275,2.3689691817462717,0,3.546578634090234,-1.2192337556853248,12.217187,-64.01534
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.6784566197669054,-0.06665902462335313,Poorly Drained,Poorly Drained,6,0.6117975951435523,-2.3215433802330945,1,-3.9337096518320784,0.8820775669440332,-55.05265,40.591526
Fine loamy,Groundwater Gley: Poorly drained mineral soil,-0.23933357520280646,-1.1047391670800495,Poorly Drained,Poorly Drained,6,-0.865405591877243,-2.7606664247971935,1,-4.270731568838784,-0.5745466703911019,-34.362736,-23.304342
All,River alluvium,-0.6503077066538221,1.202105593934831,AlluvMIN,AlluvMIN,2,1.8524133005886532,1.650307706653822,0,1.698642371162146,1.817249738198861,-0.076392494,87.50694
Peat,Lithosols: Stony mineral soils often overlying bedrock,-0.2337037925801898,1.0204415690049093,Well Drained,Well Drained,0,1.254145361585099,3.2337037925801897,0,4.206645539261893,1.0718665985099625,30.674063,63.394077
Loamy,Brown Podzolic: Well drained acid mineral soil,-0.6503077066538221,-0.3261790602375272,Poorly Drained,Poorly Drained,6,0.3241286464162949,-2.3496922933461777,1,-3.956401354188711,0.6146050314090562,-47.461967,32.428486
Peat,Peat soils,2.4122940400496375,2.6784862409843546,Peat,Peat,4,0.26619220093471707,-3.4122940400496375,2,-3.425953610607211,-0.39002011982678153,-17.73834,-26.052208
Fine loamy,Brown Earth: Well drained mineral soils,0.4745228613449852,-0.42421996258065964,Well Drained,Well Drained,0,-0.8987428239256449,2.525477138655015,0,3.6643837058110433,-1.0702888526225427,17.38826,-60.445393
Fine loamy,Luvisol: Well drained mineral soils,0.29436981742125234,-0.7500617850740114,Poorly Drained,Poorly Drained,6,-1.0444316024952638,-3.294369817421252,1,-4.671232117578944,-0.8866745823152798,-51.052605,-36.20494
Fine loamy,Brown Earth: Well drained mineral soils,-0.12673792275047338,-0.023405685354324118,Poorly Drained,Poorly Drained,6,0.10333223739614926,-2.8732620772495268,1,-4.34955206579288,0.26765253421489354,-66.03236,5.0979424
Clayey,Surface-water Gley: Poorly drained mineral soil,-0.43299809742081935,-0.7990822362455777,Well Drained,Well Drained,0,-0.3660841388247584,3.4329980974208194,0,4.3466901205488355,-0.3336274547230188,68.83142,-20.13965
Fine loamy,Brown Earth: Well drained mineral soils,-0.557979271642909,-0.5683977601440896,Well Drained,Well Drained,0,-0.010418488501180656,3.557979271642909,0,4.44224666477257,0.022516922480863455,65.7358,5.2583685
Peat,Lithosols: Stony mineral soils often overlying bedrock,-0.2337037925801898,-0.011871461549249715,Peat,Peat,4,0.22183233103094008,-0.7662962074198102,2,-1.4456025864355506,0.3166768136797432,-0.72024065,11.40636
All,Lake alluvium,-0.840594359298265,-1.0989720551775122,Poorly Drained,Poorly Drained,6,-0.2583776958792472,-2.159405640701735,1,-3.817250001701197,0.1427804553151476,-30.74736,9.593261
Peat,Lithosols: Stony mineral soils often overlying bedrock,0.515057296227825,0.13807344791671752,Poorly Drained,Poorly Drained,6,-0.37698384831110754,-3.515057296227825,1,-4.832660530283434,-0.3467969998732444,-66.25438,-21.378813
Fine loamy,Luvisol: Well drained mineral soils,-0.20217700989353657,-0.3550146197502132,Well Drained,Well Drained,0,-0.15283760985667663,3.2021770098935365,0,4.175116271054939,-0.20638020897058473,53.287453,-14.791563
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.309142879723253,-0.3434803959451388,Poorly Drained,Poorly Drained,6,-0.0343375162218858,-2.690857120276747,1,-4.213793004750967,0.1949256875958224,-55.7417,9.692555
Peat,Peat soils,2.1308049089188046,2.1825146173661554,Peat,Peat,4,0.05170970844735079,-3.1308049089188046,2,-3.216460324415647,-0.5040835804111716,-16.132141,-25.02587
Fine loamy,Luvisol: Well drained mineral soils,-0.5872541412805156,-0.6895071100973709,Well Drained,Well Drained,0,-0.1022529688168553,3.5872541412805155,0,4.463642062473451,-0.052072613921596456,71.40799,1.3042367
Fine loamy,Brown Podzolic: Well drained acid mineral soil,-0.4487614887641459,0.32262102879790794,Poorly Drained,Poorly Drained,6,0.7713825175620539,-2.551238511235854,1,-4.104743162023378,0.9612302185580605,-65.393394,36.965923
Fine loamy,Luvisol: Well drained mineral soils,-0.5399639672505357,-0.9201915861988589,Well Drained,Well Drained,0,-0.38022761894832313,3.539963967250536,0,4.42667725074293,-0.3162009477859248,78.30685,-16.051699
Peat,Peat soils,-0.8766249680830117,0.4552646025562636,Well Drained,Well Drained,0,1.3318895706392753,3.8766249680830116,0,4.6883276712058395,1.3234422038253344,43.123974,64.95515
Peat,Peat soils,-0.34855135808156956,-0.17335059482029136,Peat,Peat,4,0.1752007632612782,-0.6514486419184304,2,-1.3598989162467945,0.3070175320735159,2.6056087,11.433602
Coarse loamy,Surface-water Gley: Poorly drained mineral soil,-0.40147131473416614,-0.28004216501722956,Poorly Drained,Poorly Drained,6,0.12142914971693658,-2.598528685265834,1,-4.143804673493959,0.36151069322404294,-53.196514,17.10795
Peat,Peat soils,-0.37895218424369953,-1.1537596182516157,Peat,Peat,4,-0.7748074340079161,-0.6210478157563004,2,-1.3424979019369359,-0.5414801055994696,11.452312,-22.184334
Peat,Peat soils,-0.5962617934767023,-0.349247507847676,Peat,Peat,4,0.24701428562902628,-0.4037382065232977,2,-1.1740761593709943,0.4417116097142998,9.321314,16.865713
Peat,Peat soils,-0.7392582720911651,-0.536678644680135,Peat,Peat,4,0.20257962741103008,-0.2607417279088349,2,-1.0672898819749543,0.44197813530584595,14.254556,19.110052
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,0.033147903731839595,3.3301698859710585,Poorly Drained,Poorly Drained,6,3.297021982239219,-3.0331479037318396,1,-4.451229348319572,3.1038098715898186,-96.509575,25.49868
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.03891331383765363,0.553305504899396,Poorly Drained,Poorly Drained,6,0.5922188187370496,-2.9610866861623464,1,-4.4125355009051015,0.683930819149072,-69.54773,25.965244
Peat,Peat soils,-0.08282561829406343,-0.363665287604019,Poorly Drained,Poorly Drained,6,-0.2808396693099556,-2.9171743817059363,1,-4.384587043374829,-0.09133142208074807,-55.462234,-5.3178434
Peat,Peat soils,0.272976643455309,1.109831803494236,Peat,Peat,4,0.8368551600389271,-1.272976643455309,2,-1.8213999747636163,0.7285487218222922,-13.314623,22.273056
Peat,Lithosols: Stony mineral soils often overlying bedrock,0.9857071234785775,-0.3578981757014818,Well Drained,Well Drained,0,-1.3436052991800593,2.0142928765214227,0,3.279240919302776,-1.615893658078325,0.91486716,-71.560425
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.3158986188703929,0.5417712810943216,Well Drained,Well Drained,0,0.8576698999647145,3.315898618870393,0,4.265935815193355,0.7373708758984311,30.75907,56.563324
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.0027470775697096355,-0.24255593765073777,Poorly Drained,Poorly Drained,6,-0.2453030152204474,-3.0027470775697096,1,-4.448440218244706,-0.08342017795332712,-59.507256,-5.048481
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.30126118405158964,0.09770366459895712,Poorly Drained,Poorly Drained,6,0.39896484865054677,-2.6987388159484103,1,-4.2172503101419965,0.5836174886529949,-61.235764,24.224401
Fine loamy,Luvisol: Well drained mineral soils,0.14574355618417267,-0.992280484980574,Well Drained,Well Drained,0,-1.1380240411647466,2.854256443815827,0,3.9091351876656377,-1.1933796003063055,25.619045,-74.50934
Fine loamy,Brown Podzolic: Well drained acid mineral soil,3.216226998559295,-0.10414525198984494,Well Drained,Well Drained,0,-3.32037225054914,-0.21622699855929506,0,1.5984940946665909,-4.028757172826746,-17.02781,-72.83058
Fine loamy,Luvisol: Well drained mineral soils,-0.6480557936047755,-0.833684907660801,Well Drained,Well Drained,0,-0.18562911405602545,3.6480557936047755,0,4.508683787498113,-0.11013416348536409,76.781784,-1.1500798
Fine loamy,Brown Earth: Well drained mineral soils,-1.1355949687233775,0.5158192775329042,Well Drained,Well Drained,0,1.6514142462562817,4.135594968723377,0,4.883974769396717,1.6847934724832538,40.63122,72.80357
Fine loamy,Luvisol: Well drained mineral soils,-0.37782622771917607,-0.7933151243430405,Well Drained,Well Drained,0,-0.41548889662386446,3.377826227719176,0,4.305114005895933,-0.3937692169437248,68.65598,-23.06097
Peat,Peat soils,0.7447524272305845,0.9743046737846117,Peat,Peat,4,0.22955224655402717,-1.7447524272305845,2,-2.177960061298581,0.047514973649903536,-11.779796,-1.7376456
Peat,Peat soils,-1.0297550554181847,0.6138601798760366,Peat,Peat,4,1.6436152352942213,0.029755055418184684,2,-0.8417226107264717,1.8240294831071098,-6.0996275,48.78729
Fine loamy,Surface-water Gley: Poorly drained mineral soil,1.7592392558261056,0.9252842226130455,Poorly Drained,Poorly Drained,6,-0.8339550332130601,-4.759239255826106,3,-5.766540203942761,-1.1101826446459864,-77.28323,-42.017334
Fine loamy,Brown Podzolic: Well drained acid mineral soil,1.0431309062292673,-0.7010413339024453,Well Drained,Well Drained,0,-1.7441722401317126,1.9568690937707327,0,3.23399982171391,-1.9934818866243922,-5.8774962,-78.5825
Fine loamy,Surface-water Gley: Poorly drained mineral soil,1.376414037488173,0.6167437358273052,Poorly Drained,Poorly Drained,6,-0.7596703016608678,-4.376414037488173,3,-5.4795664422337955,-0.9351288423482534,-74.90763,-38.396595
Peat,Lithosols: Stony mineral soils often overlying bedrock,-0.8450981853963583,0.33127169665171374,Well Drained,Well Drained,0,1.1763698820480721,3.8450981853963584,0,4.663852416077849,1.1742386296614158,43.24773,60.356293
Peat,Peat soils,0.42498077426595865,0.4494974906537264,Peat,Peat,4,0.024516716387767756,-1.4249807742659586,2,-1.9397580214956702,-0.0472220692316222,-6.4399247,-1.6407702
Coarse loamy,Brown Earth: Well drained mineral soils,-1.075919272923641,-0.42710351853192824,Poorly Drained,Poorly Drained,6,0.6488157543917128,-1.924080727076359,1,-3.635989430813601,1.0276410473537845,-48.16309,48.783676
Fine loamy,Brown Earth: Well drained mineral soils,-0.6818344893404754,-0.9028902504912474,Well Drained,Well Drained,0,-0.22105576115077197,3.6818344893404755,0,4.533768370126942,-0.13256275862632927,78.674774,-2.2298913
Peat,Peat soils,-0.9419304465053647,-0.9893969290293053,Peat,Peat,4,-0.04746648252394059,-0.05806955349463527,2,-0.9169936815246278,0.27358729710264396,20.789785,11.547287
Fine loamy,Luvisol: Well drained mineral soils,-0.2066808359916298,-1.0153489325907228,Well Drained,Well Drained,0,-0.808668096599093,3.2066808359916297,0,4.174790844852693,-0.7967853474998906,54.61942,-60.952297
Fine loamy,Luvisol: Well drained mineral soils,0.3225187305343356,-0.6722057743897593,Well Drained,Well Drained,0,-0.9947245049240949,2.6774812694656642,0,3.7776219043406245,-1.1139849244597304,22.009373,-67.53654
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.32603222759110295,-0.28580927691976676,Poorly Drained,Poorly Drained,6,0.04022295067133619,-2.673967772408897,1,-4.200730601873127,0.26695881736665805,-55.54041,12.001169
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.47790073091855506,-0.4674733018496886,Poorly Drained,Poorly Drained,6,-0.9453740327682436,-3.477900730918555,1,-4.8080516294868785,-0.8491005688991197,-55.77583,-36.16415
Fine loamy,Brown Earth: Well drained mineral soils,0.25045751296484237,-0.6001168756080443,Well Drained,Well Drained,0,-0.8505743885728867,2.7495424870351575,0,3.8323741962758655,-0.9635996577372754,27.641983,-59.053005
Coarse loamy,Brown Earth: Well drained mineral soils,-0.8079416200870885,0.9541197821257316,Well Drained,Well Drained,0,1.76206140221282,3.8079416200870884,0,4.639341036199435,1.6921510913137885,36.627083,71.61915
Peat,Peat soils,-0.16614640110878998,-0.06377546867208453,Peat,Peat,4,0.10237093243670545,-0.83385359889121,2,-1.4968444817927724,0.18983618507020494,-1.0917449,7.839827
Fine loamy,Brown Earth: Well drained mineral soils,0.5105534701297317,-0.03205635320812992,Well Drained,Well Drained,0,-0.5426098233378617,2.489446529870268,0,3.6394212025674455,-0.7591613934779651,16.509892,-48.34368
Peat,Peat soils,-0.2562229230706564,1.0694620201764755,Poorly Drained,Poorly Drained,6,1.3256849432471318,-2.7437770769293435,1,-4.245739106974865,1.4069743240212218,-77.09518,35.37105
Peat,Peat soils,-1.0984384034141077,0.5648397287044704,Peat,Peat,4,1.6632781321185781,0.0984384034141077,2,-0.7902004318483671,1.8611518039075823,-5.898292,49.87286
Peat,Peat soils,0.9035122971883741,1.8105358996525058,Peat,Peat,4,0.9070236024641317,-1.903512297188374,2,-2.2929774818716027,0.6139119997149903,-18.825531,-2.21792
Peat,Peat soils,-0.6840864023895221,3.0793005182106903,Peat,Peat,4,3.7633869206002126,-0.3159135976104779,2,-1.0885166317088222,3.6388919678142178,-22.395174,52.478027
Peat,Peat soils,0.42835864383952876,1.4097216224261704,Peat,Peat,4,0.9813629785866416,-1.4283586438395288,2,-1.9368930771689106,0.8150707740024684,-15.776185,23.610088
Fine loamy,Luvisol: Well drained mineral soils,-0.5061852715148358,-1.136458282544004,Well Drained,Well Drained,0,-0.6302730110291681,3.506185271514836,0,4.399983572964754,-0.551319080982163,82.735634,-32.07162
Fine loamy,Luvisol: Well drained mineral soils,1.3820438201107896,-0.4818910816060316,Poorly Drained,Poorly Drained,6,-1.8639349017168212,-4.382043820110789,3,-5.490004798252733,-1.9329613533583276,-66.43391,-50.72097
Fine loamy,Luvisol: Well drained mineral soils,0.07255638209015616,-0.6635551065359535,Well Drained,Well Drained,0,-0.7361114886261096,2.927443617909844,0,3.9661831954300366,-0.8101288604453082,39.84955,-55.783558
Coarse loamy,Brown Earth: Well drained mineral soils,-0.7854224895966219,0.33992236450551955,Well Drained,Well Drained,0,1.1253448541021414,3.785422489596622,0,4.618895932737785,1.1113640861631233,42.405106,58.949986
Fine loamy,Luvisol: Well drained mineral soils,-0.34404753198347615,-1.055718715908483,Well Drained,Well Drained,0,-0.711671183925007,3.344047531983476,0,4.278160272336044,-0.670511063810622,62.58925,-58.446976
Fine loamy,Luvisol: Well drained mineral soils,-0.17065022720688336,-0.8827053588323671,Well Drained,Well Drained,0,-0.7120551316254837,3.1706502272068833,0,4.148365527836961,-0.7197912777527703,53.402626,-54.86097
Loamy,Podzols: Well drained acid mineral soil,3.576533086406761,1.3895367307672901,Poorly Drained,Poorly Drained,6,-2.1869963556394705,-6.57653308640676,3,-7.134460439654452,-2.8437193004732384,-66.2231,-64.467674
Fine loamy,Luvisol: Well drained mineral soils,-0.31702457539491635,-1.006698264736917,Well Drained,Well Drained,0,-0.6896736893420006,3.3170245753949166,0,4.258056848562997,-0.6582914483275653,61.474873,-56.628433
Fine loamy,Luvisol: Well drained mineral soils,0.6895805575289413,0.9570033380770001,Poorly Drained,Poorly Drained,6,0.2674227805480588,-3.6895805575289415,1,-4.959663649381917,0.18532121172833393,-81.02681,-15.483438
Fine loamy,Luvisol: Well drained mineral soils,-0.18416170550116318,-1.1393418384952725,Well Drained,Well Drained,0,-0.9551801329941093,3.1841617055011633,0,4.157108834071742,-0.9353203948998026,51.36909,-67.93628
Fine loamy,Brown Earth: Well drained mineral soils,-0.20330296641805984,-0.23678882574820057,Well Drained,Well Drained,0,-0.03348585933014073,3.2033029664180597,0,4.176631819538959,-0.09838587684402,48.43161,-8.764217
Fine loamy,Luvisol: Well drained mineral soils,-1.1175796643310043,-0.28292572096849816,Poorly Drained,Poorly Drained,6,0.8346539433625062,-1.8824203356689957,1,-3.603758001390692,1.2070570888581234,-52.866547,53.607452
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.6818344893404754,-0.9000066945399787,Poorly Drained,Poorly Drained,6,-0.2181722051995033,-2.3181655106595245,1,-3.935859442759128,0.13424993630425497,-33.75951,10.826163
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.3078812957155322,-0.6693222184384907,Poorly Drained,Poorly Drained,6,-0.977203514154023,-3.307881295715532,1,-4.680966886481506,-0.8298358735376358,-51.63857,-35.40142
Fine loamy,Luvisol: Well drained mineral soils,0.3078812957155322,-1.0470680480546775,Well Drained,Well Drained,0,-1.3549493437702096,2.692118704284468,0,3.7865479731781466,-1.4348412420423253,19.049957,-75.683525
All,River alluvium,-0.015268226822663591,-0.60876754346185,AlluvMIN,AlluvMIN,2,-0.5934993166391864,1.0152682268226636,0,1.2095114552636446,-0.5686121602369503,14.965636,55.094036
Fine loamy,Luvisol: Well drained mineral soils,0.27185068693078573,-0.5885826518029699,Poorly Drained,Poorly Drained,6,-0.8604333387337556,-3.2718506869307857,1,-4.653338811475351,-0.7143202675579573,-51.803986,-32.598343
Fine loamy,Brown Earth: Well drained mineral soils,0.4047135568245386,-0.551096424436478,Poorly Drained,Poorly Drained,6,-0.9558099812610166,-3.4047135568245386,1,-4.753327870271539,-0.8378617699696388,-54.449516,-35.87224
All,River alluvium,-1.000480185780578,0.6945997465115574,AlluvMIN,AlluvMIN,2,1.6950799322921355,2.000480185780578,0,1.959869131554457,1.7741278657723538,-1.0347359,86.7811
Coarse loamy,Brown Earth: Well drained mineral soils,-0.282119923134693,-0.30022705667610977,Well Drained,Well Drained,0,-0.018107133541416798,3.282119923134693,0,4.235715130875698,-0.06226887395612157,50.24921,-6.914965
Fine loamy,Brown Earth: Well drained mineral soils,-0.08845540091668008,-0.5626306482415524,Poorly Drained,Poorly Drained,6,-0.4741752473248723,-2.91154459908332,1,-4.381462756216566,-0.26416585805796167,-51.08603,-11.65337
Peat,Peat soils,0.25045751296484237,2.5544933350798047,Poorly Drained,Poorly Drained,6,2.304035822114962,-3.2504575129648425,1,-4.619488556021942,2.1466329773202113,-92.79213,21.532917
Fine loamy,Brown Earth: Well drained mineral soils,-0.4600210540093792,-0.3723159554578248,Well Drained,Well Drained,0,0.0877050985515544,3.4600210540093794,0,4.3694753695707975,0.08339747702259681,57.134335,7.7619877
Peat,Peat soils,2.0767589957416845,0.17555967528320934,Peat,Peat,4,-1.9011993204584752,-3.0767589957416845,3,-3.1870132848379216,-2.250703964500806,-7.7914906,-36.397964
Fine loamy,Brown Earth: Well drained mineral soils,1.0102936227437211,-0.8798218028810986,Well Drained,Well Drained,0,-1.8901154256248196,1.9897063772562789,0,3.2577567929113505,-2.1158817961365957,-6.5704885,-79.137924
Peat,Peat soils,-0.2337037925801898,0.5677232846557391,Peat,Peat,4,0.8014270772359289,-0.7662962074198102,2,-1.4423356356777826,0.8395747166673987,-6.8569007,26.351671
Loamy,"Rendzinas: Well drained shallow soils with high lime content, derived from limestone",-0.9205372725394215,-0.27427505311469236,Well Drained,Well Drained,0,0.6462622194247292,3.9205372725394216,0,4.717332605349322,0.7172762993825671,57.588676,42.50189
Fine loamy,Brown Earth: Well drained mineral soils,-0.9239151421129914,-0.24832304955327497,Well Drained,Well Drained,0,0.6755920925597164,3.9239151421129916,0,4.720026353356674,0.744690335858815,56.956104,43.68589
Peat,Peat soils,-0.5861281847559923,1.6231047628200468,Poorly Drained,Poorly Drained,6,2.209232947576039,-2.4138718152440077,1,-3.993815863383997,2.2971936808008597,-90.5318,27.492773
All,River alluvium,-0.4611470105339026,-1.0326502682983343,AlluvMIN,AlluvMIN,2,-0.5715032577644317,1.4611470105339026,0,1.5433877879476028,-0.4229379547678217,21.644495,54.511536
Fine loamy,Luvisol: Well drained mineral soils,0.04665938202611959,-0.6116510994131187,Well Drained,Well Drained,0,-0.6583104814392383,2.9533406179738804,0,3.986006335682201,-0.7326301681192989,39.934612,-50.11608
